scorer,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
37,,,1.0,883.382,668.11,0.5230000019073486,875.841,612.503,0.7739999890327454,875.936,532.571,0.6269999742507935,972.748,468.012,0.5429999828338623,,,,,,,,,,,,,,,
38,,,1.0,885.05,675.744,0.5699999928474426,875.851,612.405,0.7710000276565552,875.882,532.115,0.6480000019073486,972.748,468.012,0.5429999828338623,,,,,,,,,,,,,,,
39,843.625,788.571,0.8190000057220459,885.07,675.744,0.6000000238418579,875.851,612.392,0.7609999775886536,875.882,531.974,0.6399999856948853,972.749,468.013,0.5410000085830688,,,,,,,,,,,,,,,
40,850.047,788.586,0.8399999737739563,885.07,675.744,0.5479999780654907,875.992,612.312,0.7680000066757202,875.575,531.974,0.5730000138282776,,,1.0,,,,,,,,,,,,,,,
41,,,1.0,885.07,675.92,0.5879999995231628,875.996,612.216,0.7720000147819519,875.348,531.974,0.42899999022483826,1004.519,467.927,0.5189999938011169,,,,,,,,,,,,,,,
42,,,1.0,885.035,675.92,0.6349999904632568,876.024,612.137,0.7770000100135803,875.348,532.001,0.5690000057220459,,,1.0,,,,,,,,,,,,,,,
43,,,1.0,884.785,676.147,0.597000002861023,876.024,612.216,0.7730000019073486,875.475,532.021,0.5690000057220459,,,1.0,,,,,,,,,,,,,,,
44,,,1.0,883.948,692.117,0.5730000138282776,876.024,612.216,0.7749999761581421,875.475,532.119,0.625,,,1.0,,,,,,,,,,,,,,,
45,,,1.0,883.933,707.23,0.5759999752044678,883.605,620.718,0.7059999704360962,876.128,532.621,0.574999988079071,1004.325,467.825,0.5220000147819519,,,,,,,,,,,,,,,
46,843.561,828.13,0.6629999876022339,876.445,707.297,0.4650000035762787,883.835,620.718,0.7139999866485596,884.025,539.597,0.578000009059906,1004.325,467.831,0.5220000147819519,,,,,,,,,,,,,,,
47,,,1.0,875.736,707.297,0.3319999873638153,892.137,620.718,0.6840000152587891,884.516,539.597,0.5320000052452087,1004.325,467.831,0.5049999952316284,,,,,,,,,,,,,,,
48,,,1.0,875.642,707.283,0.3529999852180481,892.137,620.657,0.6959999799728394,884.516,539.569,0.550000011920929,1004.325,467.831,0.5049999952316284,,,,,,,,,,,,,,,
49,,,1.0,875.635,707.283,0.36500000953674316,892.137,620.657,0.6909999847412109,884.516,539.569,0.5649999976158142,1004.242,467.825,0.4959999918937683,,,,,,,,,,,,,,,
50,,,1.0,875.635,707.293,0.3619999885559082,892.134,620.657,0.6909999847412109,884.41,539.552,0.578000009059906,995.933,467.806,0.4440000057220459,,,,,,,,,,,,,,,
